New Phytologist Supporting Information
"Authors: Joel H. Nitta, James E. Watkins, Jr., and Charles C. Davis"
Article acceptance date: 5 February 2020
"Table S1: List of ferns from Moorea, French Polynesia included in this study"
Taxon code,Genus,Specific epithet,Infraspecific epithet,Informal variety,Scientific name,Name source
Prosaptia_contigua,Prosaptia,contigua,NA,NA,Prosaptia contigua (G. Forst.) C. Presl,TROPICOS
Prosaptia_subnuda,Prosaptia,subnuda,NA,NA,Prosaptia subnuda (Mett. ex Kuhn) Copel.,IPNI
Psilotum_complanatum,Psilotum,complanatum,NA,NA,Psilotum complanatum,IPNI
Psilotum_nudum,Psilotum,nudum,NA,NA,Psilotum nudum (L.) P.Beauv.,NCBI
Pteris_comans,Pteris,comans,NA,NA,Pteris comans,IPNI
Pteris_ensiformis,Pteris,ensiformis,NA,NA,Pteris ensiformis Burm. f.,TROPICOS
Pteris_mertensioides,Pteris,mertensioides,NA,NA,Pteris mertensioides Willd.,TROPICOS
Pteris_tripartita,Pteris,tripartita,NA,NA,Pteris tripartita,IPNI
Ptisana_salicina,Ptisana,salicina,NA,NA,Ptisana salicina (Sm.) Murdock,TROPICOS
Pyrrosia_serpens,Pyrrosia,serpens,NA,NA,Pyrrosia serpens (G.Forst.) Ching,IPNI
Schizaea_dichotoma,Schizaea,dichotoma,NA,NA,Schizaea dichotoma,IPNI
Selliguea_plantaginea,Selliguea,plantaginea,NA,NA,Selliguea plantaginea Brack.,TROPICOS
Sphaeropteris_medullaris,Sphaeropteris,medullaris,NA,NA,Sphaeropteris medullaris (G. Forst.) Bernh.,TROPICOS
Sphaerostephanos_invisus,Sphaerostephanos,invisus,NA,NA,Sphaerostephanos invisus (G.Forst.) Holttum,IPNI
Sphaerostephanos_subpectinatus,Sphaerostephanos,subpectinatus,NA,NA,Sphaerostephanos subpectinatus (Copel.) Holttum,IPNI
Sphenomeris_chinensis,Sphenomeris,chinensis,NA,NA,Sphenomeris chinensis (L.) Maxon,TROPICOS
Sticherus_tahitensis,Sticherus,tahitensis,NA,NA,Sticherus tahitensis (Copel.) St.John,IPNI
Tectaria_decurrens,Tectaria,decurrens,NA,NA,Tectaria decurrens (C. Presl) Copel.,TROPICOS
Tectaria_dissecta,Tectaria,dissecta,NA,NA,Tectaria dissecta (G. Forst.) Lellinger,TROPICOS
Tectaria_tahitensis,Tectaria,tahitensis,NA,NA,Tectaria tahitensis Maxon,IPNI
Teratophyllum_wilkesianum,Teratophyllum,wilkesianum,NA,NA,Teratophyllum wilkesianum Holttum,TROPICOS
Tmesipteris_gracilis,Tmesipteris,gracilis,NA,NA,Tmesipteris gracilis Chinnock,IPNI
Vaginularia_paradoxa,Vaginularia,paradoxa,NA,NA,Vaginularia paradoxa Mett. ex Miq.,TROPICOS
Vandenboschia_maxima,Vandenboschia,maxima,NA,NA,Vandenboschia maxima (Blume) Copel.,TROPICOS
Wibelia_denticulata,Davallia,denticulata,NA,NA,Davallia denticulata (Burm. f.) Mett. ex Kuhn,TROPICOS
"'Taxon code' is the name used for that taxon in analyses. 'Informal variety' is a number assigned"
"to infraspecific taxa that are morphologically and genetically distinct, but lack formal names"
"distinguishing them. 'Name source' indicates the source of the scientific name as follows: IPNI"
"= International Plant Names Index (https://www.ipni.org/), TROPICOS = Missouri Botanical Garden"
"taxonomic database (https://www.tropicos.org/), NCBI = National Center for Biotechnology Information"
"taxonomic database (https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi), Murdock and Smith"
"2003 = Murdock & Smith (2003). The genus in 'Taxon code' may differ from the 'Genus' column for"
"names whose preferred synonymy has changed since data were originally recorded. 'NA' indicates not"
"applicable."
